#mb_perday;cost;mbs;days;desc;cost_permb
37.5;38;150;4; "150 MB 3G4G data, 4 days";25.33
102.4;2849;3072;30; "Rs.2849 Singapore Smartpack. 3GB + Unlimited incomings + 299min India calls, 30 Days.Tariff Calls to IndiaLocal Rs.10m, Intl.calls Rs.39m, SMS Rs.10, Data Rs.10MB";92.74
34.13;2899;1024;30; "Rs.2899 Thailand Smartpack. 1 GB + Unlimited incomings + 299 min India calls, 30 Days.Tariff Calls to IndiaLocal Rs.10min, Intl.calls Rs.39, SMS Rs.10, Data Rs.10MB";283.11
102.4;4549;3072;30; "UAE Smartpack. 3 GB + 100 min incoming + 399 min India calls, 30 Days. Tariff Incoming Rs.10m, Call to IndiaLocal Rs.10m, Intl.calls Rs.39m, SMS Rs.10SMS, Data Rs.10MB";148.08
102.4;5149;3072;30; "Rs.5149 UK Smartpack. 3 GB + Unlimited incoming + 399min calls to India, 30 Days.Tariff Call to IndiaLocal Rs.10m, Intl.calls Rs.39m, SMS Rs.10, Data Rs.10MB";167.61
102.4;5699;3072;30; "Rs.5699 USA Smartpack. 3 GB + Unlimited Incoming + 399min calls to India, 30 Days.Tariff Call to Indialocal Rs.10m, Intl.calls Rs.39m, SMS Rs.10,Data Rs.10MB";185.51
1.0;998;30;30; "IR Pack - 30 MB data Free. Thereafter charged at 39p10kb, Outgoing at Rs.39min, Incoming at Rs.19min. Rs.15SMS, Val- 30 days";3326.67
6.07;58;85;14; "85 MB 3G4G Data, LocalStd Mob 2ps, LL 2.5ps";68.24
5.56;67;100;18; "100 MB 3G4G Data, LocalStd Mob 2ps, LL 2.5ps";67.0
182.86;1749;5120;28; "5 GB 3G4G Data thereafter 25pMB, Unlimited all local calls, 100 smsday Local + National";34.16
256.0;2249;7168;28; "7 GB 3G4G Data thereafter 25pMB, Unlimited Local + STD + Roaming mobile + LL calls, 100 smsDay local + national";31.38
548.57;3249;15360;28; "15 GB 3G4G Data thereafter 25pMB, Unlimited Local + STD + Roaming mobile + LL calls, 100 smsDay local + national";21.15
17.86;325;500;28; "500 MB 3G4G with 12000 local mobile secs for 28 days";65.0
36.57;475;1024;28; "1 GB 3G4G with 33000 local mobile secs for 28 days";46.39
36.57;599;1024;28; "1 GB 3G4G + UNLIMITED Local A2A minutes for 28 days";58.5
36.57;799;1024;28; "1 GB 3G4G + UNLIMITED A2A minutes Local + STD";78.03
36.57;899;1024;28; "1 GB 3G4G + UNLIMITED Local minutes for 28 days";87.79
109.71;1098;3072;28; "3 GB 3G data 25pMB post 3 GB + Unlimited A2A Local calls + 100 SMSday + Wynk Music Unlimited + Wynk Movies 5 moviesmonth Unlimited song downloads on Wynk Music.";35.74
15.0;32;45;3; "45 MB 3G4G Data, LocalStd Mob 2ps, LL 2.5ps";71.11

